"År";"Næring ";"Estimert mangel på arbeidskraft i antall personer";"95 % konfidens-intervall for estimert mangel , nedre grense";"95 % konfidens-intervall for estimert mangel , øvre grense";"Prosentvis andel bedrifter med alvorlige rekrutteringsproblemer";
"2015";"Jordbruk, skogbruk og fiske";"137";"80";" 187";"5";
"2015";"Bergverksdrift og utvinning";"36";"27";" 46";"4";
"2015";"Industrien";"879";"788";" 1013";"6";
"2015";"Nærings- og nytelsemidler";"205";"128";" 277";"6";
"2015";"Tekstil- og lærvarer";"4";"4";" 8";"3";
"2015";"Trevarer";"77";"55";" 100";"6";
"2015";"Treforedling og grafisk prod.";"15";"11";" 24";"3";
"2015";"Petroleum og kjemiske prod.";"23";"20";" 32";"5";
"2015";"Prod. av annen industri";"109";"87";" 132";"9";
"2015";"Prod. av metallvarer";"183";"139";" 237";"9";
"2015";"Prod. av maskiner og utstyr";"230";"182";" 291";"9";
"2015";"Prod. av elektriske og optiske produkter";"33";"28";" 42";"5";
"2015";"Elektrisitet, vann og renovasjon";"72";"56";" 94";"5";
"2015";"Bygge- og anleggsvirksomhet";"2865";"2162";" 3447";"12";
"2015";"Varehandel, motorvognreparasjoner";"2455";"1821";" 3170";"6";
"2015";"Transport og lagring";"434";"309";" 604";"6";
"2015";"Overnattings- og serveringsvirksomhet";"1444";"902";" 2162";"12";
"2015";"Informasjon og kommunikasjon";"505";"363";" 828";"9";
"2015";"Finansierings- og forsikringsvirksomhet";"113";"70";" 179";"5";
"2015";"Eiendomsdrift, forretningsmessig og faglig tjenesteyting";"3391";"2376";" 4530";"8";
"2015";"Offentlig forvaltning";"436";"340";" 539";"6";
"2015";"Undervisning";"1407";"1143";" 1636";"12";
"2015";"Helse- og sosialtjeneste";"6075";"5227";" 6867";"9";
"2015";"Personlig tjenesteyting";"508";"356";" 689";"6";
"2016";"Jordbruk, skogbruk og fiske";"152";"74";" 256";"3";
"2016";"Bergverksdrift og utvinning";"27";"22";" 43";"2";
"2016";"Industrien";"822";"738";" 928";"5";
"2016";"Nærings- og nytelsemidler";"138";"98";" 196";"6";
"2016";"Tekstil- og lærvarer";"33";"26";" 41";"9";
"2016";"Trevarer";"56";"48";" 67";"7";
"2016";"Treforedling og grafisk prod.";"28";"18";" 46";"4";
"2016";"Petroleum og kjemiske prod.";"19";"17";" 30";"3";
"2016";"Prod. av annen industri";"134";"93";" 177";"5";
"2016";"Prod. av metallvarer";"162";"124";" 217";"6";
"2016";"Prod. av maskiner og utstyr";"234";"168";" 305";"6";
"2016";"Prod. av elektriske og optiske produkter";"18";"16";" 29";"4";
"2016";"Elektrisitet, vann og renovasjon";"66";"47";" 90";"4";
"2016";"Bygge- og anleggsvirksomhet";"3639";"2600";" 5222";"11";
"2016";"Varehandel, motorvognreparasjoner";"1857";"1269";" 2427";"4";
"2016";"Transport og lagring";"919";"568";" 1275";"5";
"2016";"Overnattings- og serveringsvirksomhet";"1850";"1300";" 2412";"12";
"2016";"Informasjon og kommunikasjon";"643";"410";" 853";"7";
"2016";"Finansierings- og forsikringsvirksomhet";"154";"100";" 213";"3";
"2016";"Eiendomsdrift, forretningsmessig og faglig tjenesteyting";"5414";"2985";" 7513";"7";
"2016";"Offentlig forvaltning";"589";"457";" 735";"5";
"2016";"Undervisning";"1330";"1117";" 1677";"11";
"2016";"Helse- og sosialtjeneste";"7915";"7014";" 8883";"9";
"2016";"Personlig tjenesteyting";"1118";"597";" 1930";"5";
"2017";"Jordbruk, skogbruk og fiske";"283";"117";" 529";"3";
"2017";"Bergverksdrift og utvinning";"48";"36";" 63";"2";
"2017";"Industrien";"944";"848";" 1 068";"5";
"2017";"Nærings- og nytelsemidler";"168";"125";" 236";"6";
"2017";"Tekstil- og lærvarer";"39";"32";" 52";"9";
"2017";"Trevarer";"105";"84";" 129";"7";
"2017";"Treforedling og grafisk prod.";"11";"7";" 19";"4";
"2017";"Petroleum og kjemiske prod.";"20";"17";" 29";"3";
"2017";"Prod. av annen industri";"111";"79";" 144";"5";
"2017";"Prod. av metallvarer";"188";"148";" 252";"6";
"2017";"Prod. av maskiner og utstyr";"270";"188";" 345";"6";
"2017";"Prod. av elektriske og optiske produkter";"32";"25";" 45";"4";
"2017";"Elektrisitet, vann og renovasjon";"122";"92";" 161";"4";
"2017";"Bygge- og anleggsvirksomhet";"5604";"4 622";" 6 509";"11";
"2017";"Varehandel, motorvognreparasjoner";"2724";"1 603";" 3 712";"4";
"2017";"Transport og lagring";"1263";"852";" 1 641";"5";
"2017";"Overnattings- og serveringsvirksomhet";"2194";"1 710";" 2 783";"12";
"2017";"Informasjon og kommunikasjon";"882";"613";" 1 334";"7";
"2017";"Finansierings- og forsikringsvirksomhet";"261";"176";" 344";"3";
"2017";"Eiendomsdrift, forretningsmessig og faglig tjenesteyting";"8438";"4 436";" 12 244";"7";
"2017";"Offentlig forvaltning";"383";"296";" 472";"5";
"2017";"Undervisning";"1577";"1 364";" 1 833";"11";
"2017";"Helse- og sosialtjeneste";"8170";"7 317";" 8 955";"9";
"2017";"Personlig tjenesteyting";"887";"665";" 1 235";"5";
"2018";"Jordbruk, skogbruk og fiske";"353";"224";"517";"5";
"2018";"Bergverksdrift og utvinning";"42";"30";"96";"5";
"2018";"Industrien";"1433";"1286";"1582";"8";
"2018";"Nærings- og nytelsemidler";"195";"137";"246";"6";
"2018";"Tekstil- og lærvarer";"29";"22";"39";"6";
"2018";"Trevarer";"103";"89";"121";"10";
"2018";"Treforedling og grafisk prod.";"29";"22";"42";"4";
"2018";"Petroleum og kjemiske prod.";"58";"49";"75";"5";
"2018";"Prod. av annen industri";"247";"188";"304";"11";
"2018";"Prod. av metallvarer";"319";"245";"416";"11";
"2018";"Prod. av maskiner og utstyr";"427";"311";"520";"10";
"2018";"Prod. av elektriske og optiske produkter";"26";"20";"33";"5";
"2018";"Elektrisitet, vann og renovasjon";"90";"61";"130";"3";
"2018";"Bygge- og anleggsvirksomhet";"4923";"3818";"6783";"15";
"2018";"Varehandel, motorvognreparasjoner";"4199";"3142";"5372";"7";
"2018";"Transport og lagring";"2149";"1407";"2861";"10";
"2018";"Overnattings- og serveringsvirksomhet";"2400";"1665";"3284";"11";
"2018";"Informasjon og kommunikasjon";"2016";"1383";"2842";"16";
"2018";"Finansierings- og forsikringsvirksomhet";"222";"157";"276";"6";
"2018";"Eiendomsdrift, forretningsmessig og faglig tjenesteyting";"12804";"7737";"16799";"9";
"2018";"Offentlig forvaltning";"465";"356";"609";"8";
"2018";"Undervisning";"1758";"1530";"2038";"16";
"2018";"Helse- og sosialtjeneste";"10203";"8961";"12103";"26";
"2018";"Personlig tjenesteyting";"1331";"989";"1765";"9";
